TID;OMRÅDE;INDHOLD
2025K4;Nyborg;443
2025K4;Odense;4588
2025K4;Svendborg;715
2025K4;Ærø;39
2025K4;Billund;429
2025K4;Esbjerg;1647
2025K4;Fanø;34
2025K4;Fredericia;1007
2025K4;Haderslev;673
2025K4;Kolding;1289
2025K4;Sønderborg;740
2025K4;Tønder;464
2025K4;Varde;477
2025K4;Vejen;404
2025K4;Vejle;2020
2025K4;Aabenraa;1026
2025K4;Region Midtjylland;17684
2025K4;Favrskov;322
2025K4;Hedensted;453
2025K4;Horsens;1197
2025K4;Norddjurs;366
2025K4;Odder;154
2025K4;Randers;1264
2025K4;Samsø;35
2025K4;Silkeborg;1108
2025K4;Skanderborg;491
2025K4;Syddjurs;450
2025K4;Aarhus;6413
2025K4;Herning;1286
2025K4;Holstebro;883
2025K4;Ikast-Brande;798
2025K4;Lemvig;175
2025K4;Ringkøbing-Skjern;442
2025K4;Skive;517
2025K4;Struer;177
2025K4;Viborg;1153
2025K4;Region Nordjylland;6545
2025K4;Brønderslev;281
2025K4;Frederikshavn;692
2025K4;Hjørring;638
2025K4;Jammerbugt;324
2025K4;Læsø;14
2025K4;Mariagerfjord;446
2025K4;Morsø;125
2025K4;Rebild;213
2025K4;Thisted;329
2025K4;Vesthimmerlands;348
2025K4;Aalborg;3135
2025K4;Uoplyst kommune;10075
